Frame 1
28,228,90,344,0
205,185,274,294,0
57,500,161,571,1
235,190,256,276,0
255,279,314,397,0
201,258,274,386,0
127,211,136,224,0
Frame 2
27,227,90,345,0
205,185,273,293,0
235,189,256,277,0
256,278,314,399,0
62,486,159,571,1
Frame 3
26,228,90,345,0
206,185,274,292,0
235,189,256,277,0
64,482,160,571,1
257,278,314,399,0
201,255,273,390,0
4,240,9,264,0
Frame 4
27,228,89,345,0
206,185,274,294,0
61,476,166,575,1
235,189,256,277,0
256,278,313,400,0
204,236,284,419,0
Frame 5
27,227,90,345,0
205,185,274,293,0
234,190,257,277,0
58,473,173,576,1
255,277,313,400,0
200,255,275,389,0
Frame 6
26,227,90,343,0
205,184,273,293,0
234,190,257,276,0
106,480,151,558,1
256,276,312,403,0
204,236,284,418,0
Frame 7
27,228,89,345,0
205,184,273,292,0
234,189,256,277,0
200,253,275,390,0
258,275,312,403,0
2,303,69,549,0
Frame 8
26,225,90,345,0
205,185,273,294,0
234,190,256,279,0
37,443,189,581,1
259,276,313,402,0
204,234,283,420,0
Frame 9
27,225,90,345,0
206,185,273,293,0
37,447,191,582,1
235,190,256,278,0
204,236,283,418,0
260,275,313,402,0
Frame 10
27,226,90,345,0
205,185,273,294,0
199,249,277,393,0
234,190,256,277,0
261,276,313,403,0
Frame 11
29,226,90,345,0
205,185,274,294,0
69,428,197,577,0
234,190,256,277,0
204,236,283,418,0
260,277,314,403,0
4,390,58,539,0
Frame 12
30,229,90,346,0
204,184,274,292,0
76,422,198,577,1
234,190,256,276,0
204,239,283,421,0
261,277,315,403,0
Frame 13
31,230,90,345,0
205,185,274,294,0
82,415,197,579,1
234,190,256,277,0
200,250,276,393,0
262,277,315,403,0
229,373,280,482,0
Frame 14
30,229,91,346,0
206,184,274,294,0
84,415,203,578,1
234,190,257,278,0
262,277,316,405,0
204,237,282,420,0
26,220,35,238,0
Frame 15
30,228,91,346,0
206,184,274,295,0
82,412,207,580,1
234,190,257,278,0
261,276,317,407,0
203,237,284,420,0
228,373,280,482,0
Frame 16
96,410,214,577,1
30,228,91,345,0
206,184,273,295,0
235,190,256,278,0
261,276,317,408,0
204,237,283,418,0
Frame 17
206,184,273,294,0
29,230,90,344,0
96,406,218,583,1
235,190,256,278,0
229,371,280,483,0
203,236,284,420,0
127,211,136,222,0
Frame 18
29,229,90,344,0
207,184,273,295,0
235,190,256,278,0
229,372,279,483,0
92,406,220,577,1
203,235,284,421,0
127,211,136,222,0
263,277,318,406,0
Frame 19
207,183,273,295,0
28,228,90,344,0
235,190,256,279,0
228,369,279,482,0
203,235,285,422,0
57,220,77,248,0
88,394,222,569,1
260,291,323,537,0
Frame 20
28,226,91,344,0
206,183,273,294,0
234,190,256,277,0
229,370,279,484,0
203,234,284,417,0
56,220,77,247,0
127,210,137,222,0
261,291,323,537,0
Frame 21
28,225,90,345,0
206,183,273,294,0
82,378,237,577,1
229,370,279,485,0
235,190,256,277,0
260,274,317,409,0
203,235,284,418,0
127,211,136,222,0
56,220,77,248,0
Frame 22
27,227,90,343,0
79,373,240,576,1
206,183,273,294,0
235,189,256,277,0
229,371,280,485,0
265,296,319,440,0
57,220,77,249,0
201,251,274,392,0
127,210,137,222,0
6,273,73,378,0
27,221,35,240,0
9,221,31,244,0
Frame 23
78,375,243,574,1
28,228,89,343,0
205,183,273,294,0
230,372,279,484,0
234,189,256,278,0
57,220,77,249,0
265,297,321,439,0
202,235,285,416,0
6,270,72,378,0
27,222,35,240,0
127,210,137,222,0
Frame 24
81,368,247,578,1
205,183,273,295,0
27,228,90,343,0
234,189,256,279,0
56,221,77,249,0
230,369,279,482,0
201,232,286,419,0
5,271,72,378,0
127,210,137,222,0
259,294,324,537,0
9,222,31,244,0
27,222,35,240,0
Frame 25
28,227,90,344,0
205,182,273,294,0
101,368,265,579,1
234,189,256,279,0
258,274,319,408,0
56,220,77,248,0
201,232,286,417,0
9,221,31,244,0
27,222,35,240,0
Frame 26
98,370,271,574,1
206,183,273,296,0
27,226,89,343,0
234,189,256,279,0
258,274,319,405,0
9,222,31,244,0
56,220,78,249,0
27,222,35,240,0
199,247,274,391,0
6,270,72,379,0
127,210,137,222,0
Frame 27
93,368,278,576,1
27,226,90,343,0
206,183,273,297,0
235,189,256,280,0
258,273,318,406,0
9,221,31,243,0
47,219,69,249,0
27,221,35,240,0
Frame 28
99,365,280,579,1
27,228,88,344,0
206,183,273,295,0
234,189,256,280,0
202,234,284,424,0
56,220,77,249,0
259,273,318,406,0
9,221,31,243,0
27,221,35,240,0
Frame 29
27,228,89,344,0
105,364,278,580,1
206,183,273,294,0
202,233,283,428,0
235,189,256,279,0
47,220,68,249,0
9,221,30,243,0
27,221,35,240,0
Frame 30
28,224,89,346,0
124,373,291,574,1
206,183,273,295,0
202,228,283,426,0
235,189,256,279,0
260,271,318,411,0
47,219,67,248,0
1,299,63,550,0
8,220,30,243,0
Frame 31
28,224,89,346,0
206,183,273,297,0
120,364,303,579,1
234,189,256,280,0
202,228,284,425,0
47,219,67,247,0
1,299,64,550,0
9,221,31,243,0
Frame 32
28,223,89,346,0
206,183,274,298,0
123,363,301,581,1
235,189,256,280,0
202,229,285,420,0
47,218,67,247,0
259,272,318,407,0
Frame 33
29,225,89,345,0
205,183,274,298,0
234,190,256,280,0
125,360,309,581,1
258,271,316,406,0
47,217,67,246,0
Frame 34
28,225,89,346,0
206,183,273,297,0
234,189,256,279,0
201,229,285,419,0
126,363,310,582,1
9,221,31,244,0
3,267,71,378,0
Frame 35
28,225,89,345,0
205,183,273,299,0
235,190,256,281,0
201,228,285,419,0
258,271,317,405,0
Frame 36
29,223,88,345,0
206,183,273,297,0
234,189,256,279,0
199,226,286,420,0
262,287,317,445,0
Frame 37
30,224,88,345,0
207,183,274,298,0
235,189,256,279,0
199,230,286,420,0
259,271,317,409,0
Frame 38
30,226,88,344,0
207,182,274,297,0
234,189,256,278,0
199,227,285,420,0
264,292,318,442,0
Frame 39
28,226,89,344,0
207,182,273,299,0
235,190,256,279,0
199,226,285,420,0
4,270,72,377,0
Frame 40
207,183,273,299,0
27,227,89,342,0
234,190,256,279,0
261,270,317,413,0
4,270,72,377,0
Frame 41
28,227,89,343,0
207,185,273,299,0
235,190,256,278,0
234,263,289,408,0
4,272,73,376,0
Frame 42
207,186,273,300,0
28,228,88,342,0
233,264,289,404,0
235,190,256,279,0
145,350,314,583,1
3,272,73,375,0
Frame 43
27,228,89,342,0
208,185,272,300,0
231,263,288,407,0
262,272,316,412,0
235,191,256,279,0
141,339,298,585,1
Frame 44
137,347,303,586,1
27,226,90,343,0
208,185,272,301,0
229,266,287,403,0
235,190,256,280,0
262,275,317,408,0
Frame 45
208,184,272,299,0
27,227,90,344,0
136,352,302,585,1
235,190,256,279,0
201,255,275,399,0
265,294,319,438,0
Frame 46
134,346,300,585,1
208,184,272,299,0
28,228,89,342,0
203,249,277,404,0
235,191,256,278,0
261,274,317,409,0
47,217,67,245,0
Frame 47
129,348,297,578,1
28,228,89,343,0
208,184,272,299,0
202,250,276,403,0
235,191,256,277,0
264,293,318,442,0
Frame 48
202,244,277,408,0
27,228,89,343,0
130,346,288,574,1
208,183,271,297,0
263,292,318,442,0
235,190,256,277,0
27,221,36,238,0
Frame 49
204,245,276,410,0
27,229,89,343,0
123,346,262,574,1
208,185,271,299,0
263,293,318,442,0
235,191,256,278,0
27,220,36,238,0
4,240,9,264,0
Frame 50
119,338,265,575,1
27,229,88,342,0
203,250,273,408,0
208,185,271,300,0
